text
@tiaraaarzkm pelor Njirrr wkwk
Beler
Beler
@banggilll kesukaan lu @sekarrroktfn
@saazz_ bener san
Kelar
peler
Peler
peler apaa?
@mo0odyaan lu😢
Peler teler
Baguss
@luzfamouz_ bukan anies?
"@demio_yp lah kok bawa"" Capres bang ga asik lu"
"@luzfamouz_ lah kok bawa"" cawapres bang ga asik lu"
@demio_yp lah kata siapa itu cawapres? Orang gibran temen gw yg gw maksud
"@demio_yp sensi amat sih, buzzer sebelah ye? 😂😂😂"
peler
Leher
"@luzfamouz_ lah emg kita org awam bakal ngira itu temenlu, kita pasti beranggapan gibran cawapres lah"
"@luzfamouz_ gw bukan buzzeer, org gw juga gak nyoblos🤣"
PELER 🔥
"@demio_yp yaelah cil"""
@demio_yp ya makanya g ush komen kalo gatau😂
"@luzfamouz_ cil2, wih jgn mental sosmed dong puh."
@luzfamouz_ gausah komen kalau mksd lu ambigu blok😂
@demio_yp lah katanya ga milih😂
"@demio_yp lah suka"" Gw dong, lu siapa ngatur"" Gw? 😂"
"@demio_yp mo gw komen jokowi kek prabowo kek anies kek ganjar kek ya terserah gw, lu gada halk buat ngelarang gw😂"
@luzfamouz_ nah kalo begittu lu gausah ngatur2 gw buat komen dong 😂 simple kan puh lumpuh
@luzfamouz_ kemakan omongan sendiri😂 gw bisa balikin omgn lu dgn mudah 😅
"@demio_yp ya masalahnya lu komen di komenan gw, ya gw berhak lah nanggepin lu, gw komen d postingan ini, emg adminnya nanggepin? Kan kagak, lu komennya sok tau lagi pake ngetag pak gibran segala, caper ya? Lgi butuh duit apa gmna dh😂"
PRABOWO
CALEG
MEGAWATI
@luzfamouz_ siapa si yg ngetag😂 siwer mata ni orang pe begimane.. oke kalau lu berhak nanggepin tapi gausah ngatur2 gw tong😝
MELAR
Teler
"@demio_yp duh gw keknya harus nge wajarin lu deh, dri cara berpikir lu aja sama kek bocil, bocil yg gamau salah, salah ya salah aja tong😂"
TELER
pelor -_-
Teler
Peler
peler maaf kalo ga salah
Teler
@liemmechillin teler blok
Gak dulu min i hate my otak 🤣😭
ih peler
teler
"Pelor (nempel, molor)"
Teler
teler
beler
PELER
PELER
PELERRRRR
@banggilll @hennessyvsopp 😣
kenapa otak gw jawab nya telor anyg😭💔
Telor
teler
@adeani_mutia 😂😂😂
Teler
Pelor
PELER
teler
PELER
melar
TELOR
Teler
@luzfamouz_ apa bg?
teler
Teler
peler
@luzfamouz_ saya bantu tag ya !! @gibran_rakabuming
Gibran tmn gw bg
teler
Beler anyink
Titid ajg
Peler?
Teler
@gege.trash beda org bg
peler
PELER
Teler?
ganjar
beler
peler
pelor(nemPEL moLOR)
Telor
@luzfamouz_ WKWKWKWKKWKW ANJ
TELER
Teler @virly.aji.24
Selir habis di
Kontol
Pelor
Teler
@afifam_ ini pasir bgt si
Gelar
Beler ga sih 😂
Teler
